Mission;Sample;serial number;return container;Container;Sample type;weight (g)
Apollo 14;14073;NA;Trench sample ;bag 20N ;holocrystalline melt rock;10.4
Apollo 14;14074;NA;Trench sample ;bag 20N ;holocrystalline melt rock;5.2
Apollo 14;14075;NA;Trench sample ;bag 20N ;rock chip;4.65
Apollo 14;14076;NA;Trench sample ;bag 20N ;fragmental rock;2
Apollo 14;14077;NA;Trench sample ;bag 20N ;holocrystalline plagioclase-rich rock;2.77
Apollo 14;14078;NA;Trench sample ;bag 20N ;holocrystalline melt rock;8.3
Apollo 14;14079;NA;Trench sample ;bag 20N ;holocrystalline melt rock;3.2
Apollo 14;14080;NA;Trench sample ;bag 21N;polymicts;1.94
Apollo 14;14081;NA;Trench sample ;bag 21N;polymicts;0.84
Apollo 14;14082;NA;Trench sample ;bag 13N;white rock;61.16
Apollo 14;14083;NA;Trench sample ;bag 13N;white rock;13.37
Apollo 14;14169;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;78.66
Apollo 14;14170;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;26.34
Apollo 14;14171;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;37.79
Apollo 14;14172;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;32.1
Apollo 14;14173;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;19.59
Apollo 14;14174;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;11.62
Apollo 14;14175;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;7.48
Apollo 14;14176;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;4.12
Apollo 14;14177;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;2.32
Apollo 14;14178;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;2.88
Apollo 14;14179;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;3.03
Apollo 14;14180;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;4.75
Apollo 14;14181;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;2.48
Apollo 14;14182;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;2.29
Apollo 14;14183;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.4
Apollo 14;14184;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.48
Apollo 14;14185;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.52
Apollo 14;14186;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.26
Apollo 14;14187;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.9
Apollo 14;14188;NA;comprehensive sample;weigh bag 1027;fragmental polymict rock;1.6
Apollo 14;14194;NA;comprehensive sample;weigh bag 1031;polymict breccia;4.28
Apollo 14;14195;NA;comprehensive sample;weigh bag 1031;fragmental rock;2.77
Apollo 14;14196;NA;comprehensive sample;weigh bag 1031;polymict breccia;3.93
Apollo 14;14197;NA;comprehensive sample;weigh bag 1031;rock ;1.63
Apollo 14;14198;NA;comprehensive sample;weigh bag 1031;crystalline rock;1.63
