Mission;Sample;Subsample;depth (cm);Sieve size (µm);weight %;D50 (µm);Source
Apollo 15;15010;"15010;1133";47.9 - 48.4;500.0;6.83;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;250.0;11.36;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;150.0;11.13;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;90.0;13.34;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;75.0;5.57;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;45.0;14.86;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;20.0;16.63;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;1.0;18.61;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;10000.0;0.0;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;1000.0;1.19;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;500.0;5.98;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;250.0;12.38;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;150.0;11.34;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;90.0;15.13;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;75.0;5.16;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;45.0;15.25;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;20.0;15.62;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1132";45.9 - 46.4;1.0;16.96;78.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;10000.0;0.0;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;1000.0;0.42;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;500.0;8.1;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;250.0;11.21;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;150.0;11.48;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;90.0;14.08;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;75.0;5.3;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;45.0;14.42;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;20.0;20.26;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1131";40.4 - 40.9;1.0;13.75;76.54;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;10000.0;0.0;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;1000.0;0.59;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;500.0;7.11;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;250.0;11.3;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;150.0;11.6;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;90.0;13.93;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;75.0;4.85;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;45.0;15.17;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;20.0;19.15;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1130";33.9 - 34.4;1.0;15.31;73.45;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;10000.0;0.0;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;1000.0;0.9;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;500.0;6.82;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;250.0;11.07;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;150.0;12.0;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;90.0;13.82;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;75.0;5.47;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;45.0;14.76;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;20.0;15.81;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1129";27.4 - 27.9;1.0;18.35;75.2;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;10000.0;0.0;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;1000.0;0.25;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;500.0;6.65;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;250.0;7.97;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;150.0;9.56;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;90.0;14.48;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;75.0;5.52;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;45.0;15.56;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;20.0;19.23;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2114";21.5 - 22;1.0;19.77;62.47;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;10000.0;0.0;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;1000.0;0.28;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;500.0;5.68;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;250.0;9.43;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;150.0;11.26;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;90.0;14.96;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;75.0;5.53;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;45.0;15.58;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;20.0;17.48;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2113";16.5 - 17;1.0;18.79;68.29;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;10000.0;0.0;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;1000.0;0.44;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;500.0;3.97;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;250.0;9.52;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;150.0;11.03;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;90.0;13.97;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;75.0;5.98;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;45.0;17.14;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;20.0;18.03;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2112";11.5 - 12;1.0;18.94;64.44;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;10000.0;0.0;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;1000.0;0.39;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;500.0;5.81;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;250.0;9.61;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;150.0;11.9;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;90.0;15.55;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;75.0;5.68;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;45.0;15.04;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;20.0;18.91;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2111";6.5 - 7;1.0;16.11;72.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;10000.0;0.0;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;1000.0;0.92;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;500.0;2.46;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;250.0;8.29;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;150.0;11.09;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15011;"15011;2110";3.5 - 4;90.0;16.06;64.37;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
