Mission;Sample;Subsample;depth (cm);Sieve size (µm);weight %;D50 (µm);Source
Apollo 15;15007;"15007;174";48.1 - 48.6;20.0;18.28;58.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;174";48.1 - 48.6;1.0;24.2;58.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;10000.0;0.0;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;2000.0;3.29;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;1000.0;0.57;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;500.0;3.96;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;250.0;7.56;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;150.0;8.6;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;90.0;12.17;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;75.0;4.65;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;45.0;13.3;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;20.0;19.71;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;173";41.6 - 42.1;1.0;25.19;52.67;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;10000.0;0.0;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;4000.0;6.06;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;2000.0;0.63;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;1000.0;4.11;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;500.0;3.91;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;250.0;6.25;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;150.0;7.24;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;90.0;10.22;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;75.0;4.1;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;45.0;13.37;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;20.0;17.39;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;172";31.6 - 32.1;1.0;25.73;56.36;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;10000.0;0.0;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;1000.0;2.2;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;500.0;5.7;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;250.0;7.89;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;150.0;8.63;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;90.0;11.29;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;75.0;4.62;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;45.0;13.74;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;20.0;18.43;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15007;"15007;171";25.1 - 25.6;1.0;26.49;52.35;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;10000.0;0.0;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;1000.0;0.0;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;500.0;4.03;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;250.0;6.53;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;150.0;8.37;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;90.0;12.04;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;75.0;5.49;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;45.0;15.74;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;20.0;20.23;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;206";22 - 22.5;1.0;26.56;48.33;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;10000.0;0.0;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;1000.0;0.0;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;500.0;3.4;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;250.0;7.22;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;150.0;8.81;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;90.0;13.06;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;75.0;4.93;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;45.0;14.3;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;20.0;20.76;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;205";18 - 18.5;1.0;26.53;47.85;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;10000.0;0.0;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;1000.0;0.0;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;500.0;4.84;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;250.0;6.99;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;150.0;8.93;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;90.0;11.96;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;75.0;4.87;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;45.0;14.71;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;20.0;19.46;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;204";13.5 - 14;1.0;27.23;48.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;10000.0;0.0;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;1000.0;0.0;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;500.0;5.2;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;250.0;7.03;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;150.0;8.44;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;90.0;11.78;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;75.0;5.21;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;45.0;14.04;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;20.0;19.89;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;203";9 - 9.5;1.0;27.42;47.87;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;10000.0;0.0;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;1000.0;0.0;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;500.0;3.5;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;250.0;8.04;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;150.0;8.63;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;90.0;12.15;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;75.0;4.64;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;45.0;14.03;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;20.0;19.97;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;202";5 - 5.5;1.0;28.04;46.65;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;10000.0;0.0;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;1000.0;0.0;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;500.0;5.71;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;250.0;8.57;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;150.0;9.53;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;90.0;12.43;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;75.0;4.48;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;45.0;14.22;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;20.0;17.29;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15008;"15008;201";0.5 - 1;1.0;26.75;53.74;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;10000.0;0.0;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;1000.0;0.49;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;500.0;11.56;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;250.0;11.54;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;150.0;10.92;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;90.0;12.67;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;75.0;4.79;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;45.0;14.07;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;20.0;17.75;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1134";54.4 - 54.9;1.0;15.21;80.84;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;10000.0;0.0;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
Apollo 15;15010;"15010;1133";47.9 - 48.4;1000.0;0.66;72.19;"J.C. Graf, 1993, "Lunar Soils Grain Size Catalog" NASA Reference Publication RP-1265"
