sample ID;serial number ;return container;Container;sample type;weight (g)
78575;NA;SCB4;DB565;coarse basalt;140
78576;NA;SCB4;DB565;coarse basalt;11.64
78577;NA;SCB4;DB565;coarse basalt;8.84
78578;NA;SCB4;DB565;coarse basalt;17.13
78579;NA;SCB4;DB565;medium basalt;6.07
78585;NA;SCB4;DB565;fine basalt;44.6
78586;NA;SCB4;DB565;fine basalt;10.73
78587;NA;SCB4;DB565;fine basalt;11.48
78588;NA;SCB4;DB565;fine basalt;3.77
78589;NA;SCB4;DB565;fine basalt;4.1
78595;NA;SCB4;DB565;fine basalt;4.19
78596;NA;SCB4;DB565;fine basalt;7.55
78597;NA;SCB4;DB565;fine basalt;319.1
78598;NA;SCB4;DB565;fine basalt;224.1
78599;NA;SCB4;DB565;fine basalt;198.6
79001;2050;SCB7;Drive tube lower;drive tube ;743.4
79002;2037;ACB7;Drive tube upper;drive tube ;409.4
79010;NA;SCB5;NA;SCB residue ;87.05
79035;NA;BSLSS;NA;dark matrix breccia;2806
79110;NA;SCB5;DB568;db residue ;66.3
79115;NA;SCB5;DB568;dark matrix breccia;346.3
79120;NA;SCB5;DB569;unsieved fines ;116.4
79121;NA;SCB5;DB569;<1mm fines;214.4
79122;NA;SCB5;DB569;1-2mm fines;13.97
79123;NA;SCB5;DB569;2-4mm fines;13.14
79124;NA;SCB5;DB569;4-10mm fines;14.48
79125;NA;SCB5;DB569;dark matrix breccia;1.91
79130;NA;SCB5;DB480;dust and sweepings;3.99
79135;NA;SCB5;DB480;dark matrix breccia;2283
79150;NA;SCB7;DB571;db residue ;5.63
79155;NA;SCB7;DB571;coarse basalt ;318.8
79170;NA;SCB7;DB481;db residue ;43.42
79175;NA;SCB7;DB481;agglutinate;677.7
79190;NA;SCB7;DB482;db residue ;13.38
79195;NA;SCB7;DB482;dark matrix breccia;368.5
79210;NA;SCB7;DB486;db residue ;5.55
79215;NA;SCB7;DB486;brecciated troctolite ;553.8
79220;NA;SCB5;DB483;unsieved fines ;93.49
79221;NA;SCB5;DB483;<1mm fines;152.6
79222;NA;SCB5;DB483;1-2mm fines;7.22
79223;NA;SCB5;DB483;2-4mm fines;6.24
79224;NA;SCB5;DB483;4-10mm fines;9.75
79225;NA;SCB5;DB483;friable dark matrix breccia;7.42
